Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-Oct-19,SETFNIF50,117.97,117.77,0.0017,0.0152,0.0147,0.2808
01-Oct-19,SETFNIFBK,291.22,298.99,-0.0263,0.023,0.0232,0.4432
01-Oct-19,SETFNN50,280.83,282.85,-0.0072,0.0139,0.0136,0.2598
01-Oct-19,SETUINFRA,1.9,2,-0.0513,0.065,0.0643,1.2284
01-Oct-19,SEYAIND,385.15,397.5,-0.0316,0.0226,0.0232,0.4432
01-Oct-19,SFL,1275.8,1289.2,-0.0104,0.0166,0.0163,0.3114
01-Oct-19,SGETL,10,10,0,0,0,0
01-Oct-19,SGL,7.9,7.95,-0.0063,0.0282,0.0274,0.5235
01-Oct-19,SHAHALLOYS,9.15,9.8,-0.0686,0.0544,0.0554,1.0584
01-Oct-19,SHAKTIPUMP,281.4,288.8,-0.026,0.0274,0.0273,0.5216
01-Oct-19,SHALBY,83.45,86.85,-0.0399,0.0333,0.0337,0.6438
01-Oct-19,SHALPAINTS,80.3,84.7,-0.0533,0.0374,0.0385,0.7355
01-Oct-19,SHANKARA,313.8,328,-0.0443,0.0643,0.0633,1.2093
01-Oct-19,SHANTIGEAR,94.65,96.1,-0.0152,0.0288,0.0282,0.5388
01-Oct-19,SHANTNU,12.75,12.75,0,0,0,0
01-Oct-19,SHARDACROP,293.1,301.6,-0.0286,0.031,0.0309,0.5903
01-Oct-19,SHARDAMOTR,953.1,923.95,0.0311,0.0209,0.0216,0.4127
